steamid64, (color)
76561198400294958, (sgold) ; IVLD
76561198036949513, (0.18, 0.10, 0.40) ; UO
76561199175221694, (0.337, 0.514, 0.741) ; Saddest
76561199518071040, (0.658, 0.753, 0.722) ; Choc
76561198137208775, (0.294, 0, 0.431) ; Zedreus
76561198157233631, (1.0, 0.812, 0.251) ; Intikus
76561198114218550, (0.658, 0.753, 0.722) ; Chicken
76561198155826485, (0.658, 0.753, 0.722) ; Noir
76561199220962738, (0.655, 0.780, 0.906) ; Timbits
76561198412931059, (0.749, 0.408, 0.745) ; Treach
76561198163330450, (1.0, 0.859, 0.984) ; Y_Ame
76561198064459616, (0.4,0.698,0.698) ; Pudgy Turtle
76561198117047101, (0.847,0.761,0.973) ; Wolfycatt
76561197994122551, (0.212, 0.2, 0.388) ; FranklyGD 
76561198175781481, (0.188, 0.188, 0.188) ; phanie
76561198023217670, (0.376, 0.769, 0.925) ; Silver
76561199115666551, (0.643, 0.173, 1.0) ; DustyLemny
76561198374506732, (); Autogen cape for Captain Redstone (user ID "captainredstone"
